smiles,pred(Caco-2_LogPapp),pred(CYP3A4_pIC50),pred(CYP2C9_pIC50),pred(CYP2D6_pIC50),pred(CYP3A4_pIC50)_log,pred(CYP2C9_pIC50)_log,pred(CYP2D6_pIC50)_log,CYP3A4_class,CYP2C9_class,CYP2D6_class
COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,1.06658407859015,4.72676446894112,4.77864631544771,4.95943064627146,18.76011650199638,16.64767866726952,10.979166057194629,0,0,0
CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,0.913279878198762,4.99616958122749,4.90210519226356,5.32072200282834,10.088588747784405,12.528376831884502,4.778350437977175,0,0,0
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,0.540241072070071,4.85947804686126,4.918727333391,4.9334311965618,13.820442650497291,12.057927453605982,11.656517054801116,0,0,0
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,0.291008341279659,4.69796072608636,4.96754953165004,5.08142649305142,20.046533030300058,10.775823475148371,8.290362237572605,0,0,0
CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccccc1,1.48404273193273,4.75698297716857,4.96145026402204,4.71852064597439,17.49915277865916,10.928227715308166,19.119624294462927,0,0,0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.927070075322332,4.6597019254511,4.68562276718576,4.68415513264637,21.892636920735416,20.624205759497286,20.694020136894977,0,0,0
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1.13800697754211,6.49739898767445,5.20143664048646,5.18160687651302,0.3181273533027081,6.28873594216743,6.582534189341207,1,0,0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.889127070610306,5.16601290826966,4.75120038830913,4.77132516605904,6.823184137067644,17.73371038944534,16.930696863711724,0,0,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0.831817644982565,6.11301201793941,6.04091351805221,5.43168087928747,0.7708821366658338,0.9100944835637595,3.701000303526933,1,1,0
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,1.48203870512884,4.94955527347368,4.8079308764151,4.85159680237945,11.231680128766651,15.562133033731318,14.073535003332829,0,0,0
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0.181015657242234,4.63242794151486,4.56512007988482,5.32056558569509,23.311598710924063,27.219486011508582,4.780071736590304,0,0,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.178361256092047,4.84548667407792,4.84872038683385,5.54896251770547,14.272936246698157,14.167056083681368,2.825123790015721,0,0,1
CNc1ccc(-c2cccnc2)s1,2.13298223960808,5.38907136635641,4.8596166339232,5.4448968184156,4.0825229390133195,13.816033133328236,3.5900721902035455,0,0,0
Cn1cnc(-c2cccnc2)c1,1.76700768780674,4.54174484622706,4.58314651688094,4.6937799614658,28.724676992767098,26.1128024446635,20.24044416114241,0,0,0
CCn1cnc(-c2cccnc2)c1,1.70216970238333,4.66995514678722,4.63659639901296,4.72707887061921,21.38182906078528,23.08891904388066,18.746540281472463,0,0,0
c1ccc(Cn2cnc(-c3cccnc3)c2)cc1,1.6974204167388,5.23803204124197,4.92723515021864,5.16797617593947,5.780533983902766,11.82401167252508,6.792408926630037,0,0,0
Cc1cn(-c2cccnc2)cn1,1.91407994537134,4.62043667678984,4.57914793180149,4.85392317687733,23.96422139587224,26.354335368922182,13.998349199595811,0,0,0
c1cncc(-c2cccs2)c1,2.14614344113877,4.78198211441411,4.77024771001232,5.06754690203564,16.520298325105273,16.97275295675367,8.559592666129268,0,0,0
Cc1ccsc1-c1cccnc1,2.01852911593407,4.89909606657339,4.7324483847107,5.25458097864329,12.615484473663644,18.516189434399628,5.564408704992523,0,0,0
O=Cc1ccc(-c2cccnc2)s1,1.4886702785712,4.70021080971836,4.67915956194479,4.71792341670987,19.942940350700265,20.93343209878321,19.145935137988573,0,0,0
CC(=O)c1ccc(-c2cccnc2)s1,1.56529918961849,4.62861098932118,4.65949478058449,4.64976830201149,23.517384007764864,21.903081513585654,22.399158246560877,0,0,0
c1cncc(-c2ccsc2)c1,2.24752134497533,4.87076880063033,4.77042944141835,5.12088407972318,13.465770219339,16.965652159659523,7.57034933020495,0,0,0
Fc1ccc(-c2ccsc2)cn1,1.97240564226743,4.54269261073301,4.60609721830562,4.63270575048745,28.662059238693224,24.768675402973305,23.296691543865908,0,0,0
Cc1cscc1-c1cccnc1,2.21806787582935,5.09376893384203,4.79566292302521,5.26241425144108,8.058070564007764,16.00800004963667,5.464944409254124,0,0,0
Cc1cscc1-c1ccc(F)nc1,1.99851763719872,4.56271422420296,4.61143782871715,4.60156391080746,27.370691885944456,24.465954925512836,25.028573006188815,0,0,0
c1cncc(-c2cccnc2)c1,2.45942558549814,4.54497128113131,4.58644255013339,4.61923315868445,28.51206804844193,25.91537215533711,24.03072321692865,0,0,0
c1cncc(-c2c[nH]cn2)c1,1.29816419084617,4.59926561617059,4.78485591273343,4.96947179904541,25.16137577679093,16.41134167208188,10.728233094601212,0,0,0
NCc1ccc(-c2cccnc2)s1,1.58605835344298,4.89367118556212,4.98028292117579,5.80297870493126,12.7740559621868,10.464466182182871,1.574060044574333,0,0,1
